date,product,category,branch,units_sold,unit_price
2026-06-14,GEL PEN PACK,Stationery,Model Town Campus,5,78.63
2026-06-07,Energy Drink,Beverages,Gulberg Campus,5,159.73
2026-06-30,Highlighter Set,Stationery,DHA Campus,3,235.44
2026-06-24,Chicken Patty,Snacks,Model Town Campus,9,
2026-06-18,Earphones Basic,Electronics,Gulberg Campus,1,355.41
2026-06-30,Chicken Patty,Snacks,Model Town Campus,7,57.29
2026-06-17,Energy Drink,Beverages,DHA Campus,7,152.71
2026-06-23,Gel Pen Pack,Stationery,Gulberg Campus,8,80.41
2026-06-03,Energy Drink,Beverages,Gulberg Campus,10,143.0
2026-06-21,Gel Pen Pack,Stationery,Model Town Campus,1,84.85
2026-06-04,USB Flash Drive 32GB,Electronics,Model Town Campus,10,949.55
2026-06-27,Notebook A4,Stationery,Model Town Campus,3,160.99
2026-06-26,Highlighter Set,Stationery,DHA Campus,8,229.66
2026-06-14,Energy Drink,Beverages,Gulberg Campus,4,151.54
2026-06-15,Chicken Patty,Snacks,Model Town Campus,6,64.41
2026-06-14,Cold Coffee,Beverages,Model Town Campus,5,
2026-06-21,Cold Coffee,Beverages,Gulberg Campus,5,117.15
2026-06-19,cold coffee ,Beverages,Model Town Campus,10,122.8
2026-06-20,USB Flash Drive 32GB,Electronics,Gulberg Campus,6,897.75
2026-06-16,Chicken Patty,Snacks,DHA Campus,6,64.55
2026-06-13,Chicken Patty,Snacks,Model Town Campus,1,64.39
2026-06-28,USB Flash Drive 32GB,Electronics,Model Town Campus,5,925.57
2026-06-21,Energy Drink,Beverages,DHA Campus,11,154.08
2026-06-29,Notebook A4,Stationery,Gulberg Campus,8,160.77
2026-06-06,Potato Chips,Snacks,DHA Campus,8,50.01
2026-06-29,Samosa,Snacks,Gulberg Campus,9,
2026-06-25,Earphones Basic,Electronics,Model Town Campus,7,376.89
2026-06-22,Samosa,Snacks,Model Town Campus,7,40.98
2026-06-18,Gel Pen Pack,Stationery,DHA Campus,3,77.92
2026-06-29,Mineral Water 500ml,Beverages,DHA Campus,2,43.37
2026-06-26,Chicken Patty,Snacks,Gulberg Campus,1,60.13
2026-06-04,gel pen pack,Stationery,Gulberg Campus,9,81.04
2026-06-29,Cold Coffee,Beverages,DHA Campus,5,127.06
2026-06-16,Potato Chips,Snacks,Model Town Campus,7,52.41
2026-06-10,Cold Coffee,Beverages,Gulberg Campus,1,
2026-06-05,Notebook A4,Stationery,Model Town Campus,11,149.71
2026-06-30,Cold Coffee,Beverages,Gulberg Campus,5,124.8
2026-06-15,Potato Chips,Snacks,Model Town Campus,7,53.12
2026-06-23,Highlighter Set,Stationery,DHA Campus,4,220.36
2026-06-10,Chicken Patty,Snacks,DHA Campus,8,62.14
2026-06-15,Cold Coffee,Beverages,Gulberg Campus,2,129.4
2026-06-27,cold coffee ,Beverages,Gulberg Campus,9,120.8
2026-06-16,Highlighter Set,Stationery,Gulberg Campus,2,233.37
2026-06-15,Samosa,Snacks,Model Town Campus,2,40.87
2026-06-29,Potato Chips,Snacks,Model Town Campus,11,49.81
2026-06-11,Mineral Water 500ml,Beverages,DHA Campus,1,46.59
2026-06-17,Cold  Coffee,Beverages,Gulberg Campus,8,116.81
2026-06-01,Mineral Water 500ml,Beverages,Gulberg Campus,3,44.99
2026-06-26,Energy Drink,Beverages,Gulberg Campus,8,144.44
2026-06-01,USB Flash Drive 32GB,Electronics,DHA Campus,3,
2026-06-06,Earphones Basic,Electronics,Model Town Campus,11,
2026-06-27,Mineral Water 500ml,Beverages,Gulberg Campus,2,42.83
2026-06-12,Notebook A4,Stationery,DHA Campus,9,157.35
2026-06-29,Chicken Patty,Snacks,Model Town Campus,1,62.63
2026-06-29,Cold Coffee,Beverages,Gulberg Campus,2,115.61
2026-06-19,Energy Drink,Beverages,DHA Campus,4,151.74
2026-06-12,Chicken Patty,Snacks,Model Town Campus,3,60.04
2026-06-03,Highlighter Set,Stationery,Gulberg Campus,7,210.16
2026-06-11,USB Flash Drive 32GB,Electronics,DHA Campus,11,957.66
2026-06-24,Samosa,Snacks,DHA Campus,8,40.63
2026-06-10,cold coffee ,Beverages,DHA Campus,9,124.74
2026-06-14,cold coffee ,Beverages,Model Town Campus,5,114.68
2026-06-03,USB Flash Drive 32GB,Electronics,Gulberg Campus,3,944.01
2026-06-30,Cold Coffee,Beverages,Model Town Campus,1,116.82
2026-06-11,Mineral Water 500ml,Beverages,Model Town Campus,2,42.98
2026-06-17,Notebook A4,Stationery,DHA Campus,2,148.91
2026-06-22,cold coffee ,Beverages,DHA Campus,7,115.82
2026-06-25,Mineral Water 500ml,Beverages,DHA Campus,2,46.63
2026-06-02,Highlighter Set,Stationery,Gulberg Campus,8,225.31
2026-06-19,Samosa,Snacks,Model Town Campus,9,41.83
2026-06-30,Samosa,Snacks,Gulberg Campus,5,41.95
2026-06-19,Samosa,Snacks,DHA Campus,2,
2026-06-12,Gel Pen Pack,Stationery,DHA Campus,1,77.05
2026-06-06,Potato Chips,Snacks,Model Town Campus,2,48.55
2026-06-22,USB Flash Drive 32GB,Electronics,Model Town Campus,9,957.63
2026-06-03,Cold Coffee,Beverages,Gulberg Campus,10,117.68
2026-06-06,Gel Pen Pack,Stationery,Gulberg Campus,10,78.68
2026-06-30,Energy Drink,Beverages,DHA Campus,11,161.76
2026-06-09,Highlighter Set,Stationery,Model Town Campus,7,216.17
2026-06-10,Potato Chips,Snacks,Model Town Campus,5,51.48
2026-06-19,USB Flash Drive 32GB,Electronics,Gulberg Campus,6,
2026-06-23,Samosa,Snacks,Model Town Campus,8,38.78
2026-06-08,Samosa,Snacks,DHA Campus,6,39.87
2026-06-15,Gel Pen Pack,Stationery,Gulberg Campus,1,84.09
2026-06-20,Cold Coffee,Beverages,Gulberg Campus,4,121.92
2026-06-26,Notebook A4,Stationery,DHA Campus,3,151.34
2026-06-08,Chicken Patty,Snacks,Model Town Campus,2,61.8
2026-06-23,Notebook A4,Stationery,DHA Campus,2,142.74
2026-06-30,Energy Drink,Beverages,Gulberg Campus,3,156.78
2026-06-08,Mineral Water 500ml,Beverages,DHA Campus,8,43.16
2026-06-03,Energy Drink,Beverages,Model Town Campus,7,151.77
2026-06-06,Energy Drink,Beverages,Model Town Campus,6,157.71
2026-06-18,Earphones Basic,Electronics,Gulberg Campus,10,373.19
2026-06-17,Earphones Basic,Electronics,DHA Campus,3,372.28
2026-06-12,Cold Coffee,Beverages,DHA Campus,4,126.89
2026-06-12,Samosa,Snacks,Gulberg Campus,7,41.9
2026-06-27,Mineral Water 500ml,Beverages,Gulberg Campus,8,48.51
2026-06-23,Earphones Basic,Electronics,DHA Campus,4,365.09
2026-06-18,Mineral Water 500ml,Beverages,Model Town Campus,10,47.2
2026-06-09,Samosa,Snacks,DHA Campus,7,41.49
2026-06-22,Mineral Water 500ml,Beverages,Gulberg Campus,1,45.04
2026-06-03,Highlighter Set,Stationery,Model Town Campus,8,228.05
2026-06-21,Mineral Water 500ml,Beverages,DHA Campus,9,47.2
2026-06-27,Notebook A4,Stationery,DHA Campus,10,158.59
2026-06-26,Cold Coffee,Beverages,DHA Campus,7,117.96
2026-06-21,Chicken Patty,Snacks,Model Town Campus,6,57.38
2026-06-13,Highlighter Set,Stationery,Model Town Campus,10,234.92
2026-06-05,Notebook A4,Stationery,Model Town Campus,2,152.85
2026-06-19,notebook a4 ,Stationery,Gulberg Campus,1,146.62
2026-06-02,Chicken Patty,Snacks,Model Town Campus,1,59.02
2026-06-16,Highlighter Set,Stationery,DHA Campus,6,232.78
